mag,z,vel,lum_dist
24.3,0.78,233838,5250.0
23.12,0.54,161887,3054.0
24.62,0.86,257821,6086.0
23.25,0.468,140302,3234.0
24.57,0.84,251825,5951.0
24.31,0.96,287800,5280.0
24.52,0.8218,246369,5795.0
24.25,0.93,278806,5134.0
22.5,0.451,135206,2287.0
23.6,0.61,182873,3811.0
24.75,0.83,248827,6459.0
23.98,0.707,211953,4534.0
22.58,0.415,124413,2373.0
23.26,0.557,166984,3246.0
24.28,0.791,237135,5192.0
23.91,0.695,208355,4389.0
23.75,0.633,189768,4074.0
21.31,0.2486,74528,1325.0
23.27,0.532,159489,3260.0
21.78,0.331,99231,1643.0
22.06,0.346,103728,1875.0
24.96,0.961,288100,7126.0
23.69,0.613,183772,3970.0
22.03,0.3402,101989,1843.0
24.86,0.983,294695,6784.0
23.72,0.71,212852,4022.0
23.98,0.73,218848,4523.0
22.83,0.47,140902,2672.0
23.71,0.62,185871,3998.0
22.88,0.521,156191,2729.0
22.33,0.369,110623,2122.0
23.1,0.571,171181,3019.0
23.23,0.604,181074,3202.0
24.64,0.9271,277937,6139.0
21.55,0.285,85440,1482.0
21.54,0.2912,87299,1472.0
23.0,0.548,164286,2879.0
24.19,0.868,260219,4996.0
22.91,0.496,148697,2773.0
24.1,0.811,243131,4796.0
24.51,0.756,226643,5792.0
24.35,0.817,244930,5374.0
24.0,0.752,225443,4575.0
23.0,0.5516,165365,2888.0
22.13,0.3578,107265,1936.0
24.71,1.01,302790,6346.0
24.42,0.741,222146,5539.0
22.51,0.43,128910,2302.0
23.1,0.526,157690,3020.0
23.28,0.592,177477,3277.0
24.34,0.905,271312,5343.0
24.14,0.949,284503,4886.0
22.77,0.4607,138114,2596.0
22.37,0.3709,111193,2157.0
24.41,0.8,239833,5531.0
24.16,0.679,203559,4915.0
23.37,0.5817,174389,3423.0
22.98,0.55,164885,2852.0
24.07,0.81,242831,4720.0
24.68,0.95,284802,6242.0
21.99,0.3373,101119,1815.0
25.01,0.91,272811,7263.0
21.33,0.263,78845,1339.0
23.71,0.643,192766,4002.0
23.79,0.691,207156,4147.0
22.13,0.357,107025,1928.0
23.88,0.721,216150,4317.0
23.44,0.581,174179,3536.0
23.46,0.6268,187909,3562.0
24.09,0.818,245230,4771.0
22.74,0.4627,138713,2561.0
22.72,0.449,134606,2539.0
23.75,0.688,206257,4081.0
24.93,0.87,260819,7019.0
23.04,0.5043,151185,2935.0
23.91,0.591,177177,4384.0
22.46,0.426,127711,2251.0
22.04,0.329,98631,1854.0
23.1,0.583,174779,3022.0
23.77,0.519,155592,4114.0
22.4,0.401,120216,2183.0
20.6,0.205,61457,956.7
21.91,0.34,101929,1748.0
22.58,0.436,130709,2377.0
22.25,0.363,108824,2044.0
22.63,0.436,130709,2427.0
21.87,0.309,92635,1717.0
22.08,0.342,102529,1892.0
20.12,0.159,47667,764.3
21.96,0.332,99531,1783.0
23.05,0.469,140602,2957.0
20.96,0.239,71650,1127.0
22.12,0.352,105526,1926.0
23.51,0.612,183472,3654.0
23.08,0.631,189169,2989.0
23.52,0.645,193366,3659.0
22.59,0.429,128610,2388.0
22.78,0.497,148996,2601.0
22.93,0.539,161588,2788.0
23.57,0.561,168183,3753.0
22.05,0.41,122914,1860.0
22.12,0.412,123514,1926.0
23.44,0.599,179575,3537.0
23.76,0.619,185571,4085.0
22.43,0.422,126512,2216.0
23.21,0.54,161887,3179.0
23.25,0.401,120216,3243.0
20.78,0.218,65354,1035.0
22.9,0.633,189768,2756.0
22.34,0.383,114820,2130.0
22.01,0.302,90537,1829.0
21.78,0.34,101929,1644.0
22.58,0.51,152894,2378.0
22.84,0.421,126212,2674.0
22.19,0.399,119617,1984.0
22.85,0.493,147797,2688.0
23.7,0.687,205957,3974.0
23.53,0.687,205957,3689.0
22.95,0.495,148397,2817.0
23.35,0.603,180774,3383.0
22.88,0.421,126212,2729.0
22.29,0.348,104327,2079.0
20.81,0.213,63855,1051.0
21.87,0.344,103128,1716.0
21.23,0.271,81243,1278.0
23.07,0.564,169082,2982.0
21.42,0.274,82143,1396.0
20.38,0.181,54262,864.1
23.86,0.582,174479,4293.0
23.6,0.68,203858,3809.0
22.64,0.401,120216,2439.0
22.26,0.416,124713,2049.0
21.91,0.286,85740,1747.0
23.75,0.562,168483,4075.0
21.09,0.266,79744,1197.0
21.93,0.314,94134,1764.0
24.37,0.581,174179,5417.0
22.65,0.463,138803,2452.0
21.69,0.341,102229,1579.0
23.58,0.631,189169,3770.0
23.38,0.522,156491,3431.0
22.17,0.368,110323,1966.0
21.56,0.309,92635,1486.0
23.07,0.528,158290,2978.0
21.1,0.216,64755,1205.0
21.54,0.284,85141,1469.0
22.89,0.508,152294,2747.0
24.14,0.781,234137,4869.0
23.32,0.613,183772,3337.0
21.27,0.278,83342,1298.0
22.75,0.477,143001,2576.0
24.34,0.95,284802,5342.0
24.85,1.057,316880,6763.0
24.39,0.816,244630,5473.0
23.02,0.455,136405,2916.0
25.06,1.02,305788,7457.0
25.02,1.14,341763,7321.0
24.31,0.854,256022,5269.0
25.75,1.37,410715,10230.0
25.03,0.975,292297,7358.0
25.16,0.97,290798,7808.0
23.99,0.74,221846,4545.0
25.58,1.39,416711,9446.0
22.85,0.46,137904,2690.0
24.86,1.02,305788,6805.0
25.21,1.12,335767,7996.0
25.72,1.23,368744,10100.0
25.06,1.19,356753,7457.0
